1080731,1752,1773.50,1748.50,1727.25,448365
1080801,1749.25,1758,1727.75,1701.50,454181
1080804,1728,1732,1706.50,1696.50,282460
1080805,1706.25,1768.75,1763.75,1704.75,408417
1080806,1763.75,1801.50,1791,1750.75,418191
1080807,1791.25,1802.50,1780.75,1771.25,361538
1080808,1781,1826.75,1818.50,1774,405308
1080811,1815.75,1860.75,1837.75,1813.50,431061
1080812,1836.25,1855.75,1839.50,1826,386802
1080813,1839.50,1854,1836.25,1818.50,443815
1080814,1838.25,1867.75,1860.50,1828.25,440377
1080815,1860.75,1872,1860.25,1847.25,346035
1080818,1858.75,1870.75,1838.25,1818.50,352952
1080819,1838,1841.25,1814,1797.75,385099
1080820,1813.50,1830.75,1810.75,1797,341719
1080821,1810.50,1811.75,1802,1783,303345
1080822,1801.50,1836,1824.25,1796,271663
1080825,1824.75,1825.50,1789.75,1781.75,351009
1080826,1789.50,1798.50,1786.25,1771.25,263220
1080827,1786.25,1811.25,1796.50,1776.75,297429
1080828,1795.75,1818.75,1800.25,1785.75,285917
1080829,1799.75,1802.75,1769.75,1762.25,366685
1080902,1773.75,1810.25,1746.50,1738.75,456058
1080903,1746.50,1754.25,1729,1716.50,406931
1080904,1731,1731,1670.50,1668.75,491522
1080905,1669.50,1675.25,1664.75,1636,472011
1080908,1689.25,1710,1655.50,1630,571291
1080909,1657.25,1675,1623.50,1615.50,484670
1080910,1626.50,1650.50,1632.25,1620.75,408212
1080911,1628.75,1671.25,1669.75,1600.75,369235
1080912,1669.75,1674.50,1667.50,1638,415987
1080915,1651.75,1654.25,1609.25,1599.50,526445
1080916,1609,1636.25,1621,1578,737643
1080917,1622.25,1635.75,1535,1527.75,710823
1080918,1547.50,1600.75,1596.50,1500.25,1039167
1080919,1594.50,1689.50,1627.50,1592,536698
1080922,1623,1640,1557.75,1551.25,393824
1080923,1557.50,1589.75,1538.50,1535.75,423082
1080924,1544.75,1570,1560,1537.50,354265
1080925,1559,1602.25,1568,1552.75,356372
1080926,1562.50,1572.50,1562.75,1518,363341
1080929,1568.75,1576,1400,1382,602280
1080930,1403,1493.75,1492.50,1393.75,433127
1081001,1487.75,1488.25,1466.75,1440.25,360321
1081002,1465.25,1478.75,1398.50,1383.75,375716
1081003,1398,1449.75,1365.50,1362.75,501705
1081006,1366,1368,1294.50,1231.75,665348
1081007,1297,1328,1224.50,1220.25,586337
1081008,1230,1281.25,1208,1168.75,720811
1081009,1217,1261,1160,1150.50,596728
1081010,1169.75,1214.25,1170.50,1086.25,829115
1081013,1185.50,1347.50,1346.50,1185.50,483702
1081014,1339.75,1387,1254,1241.25,629280
1081015,1266.50,1279.25,1117,1117,559282
1081016,1122,1218.75,1211,1079.25,787162
1081017,1209,1259.75,1199,1157,585775
1081020,1202,1251.25,1248,1179,382889
1081021,1252.25,1252.25,1180.50,1168.50,427559
1081022,1178,1212,1136,1096.25,508040
1081023,1134,1153.50,1141.50,1063.75,585868
1081024,1137.75,1142.75,1079.50,1037.75,530487
1081027,1078.75,1116.50,1050,1024.75,394574
1081028,1050.75,1197,1196,1039.25,485392
1081029,1193.50,1234.75,1182,1159.25,521645
1081030,1181,1242.75,1233,1181,412418
1081031,1228,1249.25,1225,1193.25,351846
1081103,1228,1244.50,1229.50,1210.50,214652
1081104,1229.25,1272,1268.50,1221.75,323132
1081105,1267.75,1277,1194.25,1184.25,372652
1081106,1192.75,1193.75,1128.50,1123,462520
1081107,1129.25,1178,1176.50,1129.25,338144
1081110,1181,1209.25,1144.50,1123.50,291818
1081111,1143,1150,1111,1096,339641
1081112,1110,1132.75,1051.50,1049,371596
1081113,1053.25,1131.75,1122.50, 996.50,579982
1081114,1125.75,1127.75,1043.50,1043,439353
1081117,1045.25,1076.75,1046.50,1027.25,364613
1081118,1047,1063.50,1062,1001,437110
1081119,1056.50,1060, 980.50, 970.75,469239
1081120, 977.50,1003, 927.50, 919.25,584821
1081121, 931.50, 981, 979, 905.75,511389
1081124, 986.25,1052,1035, 960.25,415253
1081125,1033.75,1062.25,1023.50,1005.75,388743
1081126,1023,1083,1082.50,1010,304609
1081128,1079.75,1087.50,1074,1059.25,86994
1081201,1073.75,1076.25, 982.50, 978.25,335423
1081202, 979.25,1024,1021, 977.50,376422
1081203,1020.25,1054.50,1044, 984,422325
1081204,1045.75,1057,1023, 997,381601
1081205,1022,1069,1066, 983,440158
1081208,1065,1125.75,1100,1058.75,383648
1081209,1101.75,1140.50,1105,1088.50,373552
1081210,1105.75,1128.25,1105,1091.25,339136
1081211,1106.50,1117.75,1076,1063,266984
1081212,1068,1102.75,1101,1021,375214
1081215,1102.50,1111,1081,1054.25,309117
1081216,1079.50,1134.75,1127,1075.25,342050
1081217,1127.50,1130.75,1114.50,1091.25,294861
1081218,1113.50,1123.25,1111.50,1079.50,285614
1081219,1107.50,1123.75,1097,1095,231281
1081222,1091,1109.50,1083,1055.50,186232
1081223,1085.25,1092.50,1070.50,1062.25,134786
1081224,1071.50,1075.50,1066,1064.75,39768
1081225,1066,1066,1066,1066,   0
1081226,1071,1077,1074.50,1064.75,39812
1081229,1061,1084,1061.50,1042.25,120963
1081230,1062.25,1094,1092,1061.25,151277
1081231,1092.25,1110.75,1098.50,1082.75,125382
1090102,1087,1154.25,1139,1087,190785
1090105,1140,1161,1151,1130.25,206046
1090106,1149.75,1173,1157,1145.50,264042
1090107,1156,1159,1125.50,1113.50,277243
1090108,1126.75,1138.75,1135.50,1108.75,256807
1090109,1136.25,1142.25,1107.50,1102,245200
1090112,1111,1112,1092,1072.25,224799
1090113,1092.25,1104.50,1090,1071,285219
1090114,1090,1096.75,1051.50,1041.25,289537
1090115,1051.25,1077,1063.25,1024.50,384576
1090116,1067,1087,1083,1050.50,310413
1090120,1077.50,1108.25,1033.50,1018,326088
1090121,1034.25,1071,1067.50,1026,299364
1090122,1067.75,1088.25,1058.25,1032,356738
1090123,1055.50,1077,1050.25,1027.50,347363
1090126,1045.25,1087.25,1065.50,1032.75,300366
1090127,1067,1086.25,1071.75,1062.25,248890
1090128,1073.75,1130.75,1117.25,1071,320654
1090129,1116,1117.25,1092,1082,268951
1090130,1093.50,1100.25,1065.25,1059.75,298960
1090202,1061,1088,1074.75,1039.50,289561
1090203,1075.75,1103.75,1093.75,1063.50,305832
1090204,1094.50,1128.75,1100,1089.75,310950
1090205,1100.75,1135.25,1120.50,1071,428893
1090206,1122,1165.50,1161.75,1116.25,337645
1090209,1159.50,1171.50,1161.75,1144,218398
1090210,1160.25,1172,1118.50,1107.50,423413
1090211,1113,1125.75,1110.50,1092.50,295597
1090212,1111.50,1133,1131.25,1088.50,412705
1090213,1131.25,1141,1115.25,1112,286592
1090217,1093.50,1113,1068.50,1065,383318
1090218,1071.25,1090,1066,1057.50,355522
1090219,1064.50,1087.50,1056.50,1051.25,339233
1090220,1057.25,1069.50,1057.75,1036,442366
1090223,1061.75,1082,1021.75,1011.50,377881
1090224,1022,1062.75,1049.50,1019,390287
1090225,1049,1070.25,1040,1028,419637
1090226,1041.50,1061,1018.25,1012.75,364112
1090227,1017,1024.75,1003, 993.25,401798
1090302,1004.25,1004.25, 972, 960.25,398697
1090303, 972, 988.25, 958, 954,367263
1090304, 959.25,1011, 987, 948,426573
1090305, 991.50, 998.50, 969, 958,426158
